shipper_code,destination_code,Packet,Carton,Pallet,P Size,S Size,M Size,L Size,XL Size,M3 Min,M3,Weight-KG (min),Weight-KG
LEDVANCE,KEDAH,,,,,,,,,,,,
LEDVANCE,IPOH,,,,,,,,,,,,
LEDVANCE,BWORTH,,,,,,,,,,,,
LEDVANCE,SITIAWN,,,,,,,,,,,,
LEDVANCE,JOHOR,,,,,,,,,,,,
LEDVANCE,J.BHR,,,,,,,,,,,,
LEDVANCE,PAHNG,,,,,,,,,,,,
LEDVANCE,KUANTN,,,,,,,,,,,,
LEDVANCE,K.TGG,,,,,,,,,,,,
LEDVANCE,K.BHR,,,,,,,,,,,,
LEDVANCE,KLNTN,,,,,,,,,,,,
LEDVANCE,P.JAYA,,,,,,,,,,,,
LEDVANCE,BANGI,,,,,,,,,,,,
LEDVANCE,N9,,,,,,,,,,,,
LEDVANCE,MUAR,,,,,,,,,,,,
LEDVANCE,B.PHT,,,,,,,,,,,,
LEDVANCE,KULIM,,,,,,,,,,,,
LEDVANCE,S.ALAM,,,,,,,,,,,,
LEDVANCE,KLANG,,,,,,,,,,,,
LEDVANCE,KJANG,,,,,,,,,,,,
LEDVANCE,RWANG,,,,,,,,,,,,
LEDVANCE,KLUANG,,,,,,,,,,,,
LEDVANCE,PNTIAN,,,,,,,,,,,,
LEDVANCE,LNGKAWI,,,,,,,,,,,,
LEDVANCE,SELAMA,,,,,,,,,,,,
LEDVANCE,GERIK,,,,,,,,,,,,
LEDVANCE,ISKANDR,,,,,,,,,,,,
LEDVANCE,KULAI,,,,,,,,,,,,
LEDVANCE,PERLIS,,,,,,,,,,,,
LEDVANCE,PENANG,,,,,,,,,,,,
LEDVANCE,K.LMPUR,,,,,,,,,,,,
LEDVANCE,MLAKA,,,,,,,,,,,,
LEDVANCE,J.BHR2,,,,,,,,,,,,
LEDVANCE,K.LMPUR2,,,,,,,,,,,,
LEDVANCE,MIDWAY,,,,,,,,,,,,
LEDVANCE,PERAK,,,,,,,,,,,,
LEDVANCE,SBAN,,,,,,,,,,,,
LEDVANCE,BANTING,,,,,,,,,,,,
LEDVANCE,MENTAKAB,,,,,,,,,,,,
LEDVANCE,SP,,,,,,,,,,,,
LEDVANCE,AOR,,,,,,,,,,,,
LEDVANCE,SEGAMAT,,,,,,,,,,,,
LEDVANCE,JERANTUT,,,,,,,,,,,,
LEDVANCE,ZZZ,,,,,,,,,,,,
OSRAM,KEDAH,,,,,,,,,,,,
OSRAM,IPOH,,,,,,,,,,,,
OSRAM,BWORTH,,,,,,,,,,,,
OSRAM,SITIAWN,,,,,,,,,,,,
OSRAM,JOHOR,,,,,,,,,,,,
OSRAM,J.BHR,,,,,,,,,,,,
OSRAM,PAHNG,,,,,,,,,,,,
OSRAM,KUANTN,,,,,,,,,,,,
OSRAM,K.TGG,,,,,,,,,,,,
OSRAM,K.BHR,,,,,,,,,,,,
OSRAM,KLNTN,,,,,,,,,,,,
OSRAM,P.JAYA,,,,,,,,,,,,
OSRAM,BANGI,,,,,,,,,,,,
OSRAM,N9,,,,,,,,,,,,
OSRAM,MUAR,,,,,,,,,,,,
OSRAM,B.PHT,,,,,,,,,,,,
OSRAM,KULIM,,,,,,,,,,,,
OSRAM,S.ALAM,,,,,,,,,,,,
OSRAM,KLANG,,,,,,,,,,,,
OSRAM,KJANG,,,,,,,,,,,,
OSRAM,RWANG,,,,,,,,,,,,
OSRAM,KLUANG,,,,,,,,,,,,
OSRAM,PNTIAN,,,,,,,,,,,,
OSRAM,LNGKAWI,,,,,,,,,,,,
OSRAM,SELAMA,,,,,,,,,,,,
OSRAM,GERIK,,,,,,,,,,,,
OSRAM,ISKANDR,,,,,,,,,,,,
OSRAM,KULAI,,,,,,,,,,,,
OSRAM,PERLIS,,,,,,,,,,,,
OSRAM,PENANG,,,,,,,,,,,,
OSRAM,K.LMPUR,,,,,,,,,,,,
OSRAM,MLAKA,,,,,,,,,,,,
OSRAM,J.BHR2,,,,,,,,,,,,
OSRAM,K.LMPUR2,,,,,,,,,,,,
OSRAM,MIDWAY,,,,,,,,,,,,
OSRAM,PERAK,,,,,,,,,,,,
OSRAM,SBAN,,,,,,,,,,,,
OSRAM,BANTING,,,,,,,,,,,,
OSRAM,MENTAKAB,,,,,,,,,,,,
OSRAM,SP,,,,,,,,,,,,
OSRAM,AOR,,,,,,,,,,,,
OSRAM,SEGAMAT,,,,,,,,,,,,
OSRAM,JERANTUT,,,,,,,,,,,,
OSRAM,ZZZ,,,,,,,,,,,,
