id,destination_code,destination_name,created_on,created_by,changed_on,changed_by,deleted_on,deleted_by
43,KEDAH,Kedah,"2019-09-09 16:33:29",admin,"2020-07-02 11:26:51",13,NULL,
44,IPOH,Ipoh,"2019-09-09 16:33:43",admin,NULL,NULL,NULL,
45,BWORTH,Butterworth,"2019-09-09 16:33:57",admin,NULL,NULL,NULL,
47,SITIAWN,Sitiawan,"2019-09-09 16:35:57",admin,NULL,NULL,NULL,
48,JOHOR,Johor,"2019-09-09 16:36:09",admin,"2019-11-15 10:33:05",szesheng,NULL,
49,J.BHR,"Johor Bahru","2019-09-09 16:36:25",admin,"2020-06-04 12:15:43",13,NULL,
50,PAHNG,Pahang,"2019-09-09 16:36:38",admin,NULL,NULL,NULL,
51,KUANTN,Kuantan,"2019-09-09 16:36:52",admin,NULL,NULL,NULL,
52,K.TGG,"Kuala Terengganu","2019-09-09 16:37:06",admin,NULL,NULL,NULL,
53,K.BHR,"Kota Bahru","2019-09-09 16:37:19",admin,NULL,NULL,NULL,
54,KLNTN,Kelantan,"2019-09-09 16:37:33",admin,NULL,NULL,NULL,
58,P.JAYA,"Petaling Jaya","2019-09-09 16:38:26",admin,NULL,NULL,NULL,
59,BANGI,Bangi,"2019-09-09 16:38:38",admin,NULL,NULL,NULL,
60,N9,"Negeri Sembilan","2019-09-09 16:39:15",admin,NULL,NULL,NULL,
63,MUAR,Muar,"2019-09-09 16:40:01",admin,NULL,NULL,NULL,
64,B.PHT,"Batu Pahat","2019-09-09 16:40:16",admin,NULL,NULL,NULL,
65,KULIM,Kulim,"2019-09-09 16:40:31",admin,NULL,NULL,NULL,
66,S.ALAM,"Shah Alam","2019-09-09 16:40:44",admin,NULL,NULL,NULL,
67,KLANG,Klang,"2019-09-09 16:41:01",admin,NULL,NULL,NULL,
68,KJANG,Kajang,"2019-09-09 16:41:16",admin,NULL,NULL,NULL,
69,RWANG,Rawang,"2019-09-09 16:41:33",admin,NULL,NULL,NULL,
70,KLUANG,Kluang,"2019-09-09 16:41:46",admin,NULL,NULL,NULL,
71,PNTIAN,Pontian,"2019-09-09 16:41:59",admin,NULL,NULL,NULL,
73,LNGKAWI,Langkawi,"2019-09-09 16:42:34",admin,NULL,NULL,NULL,
74,SELAMA,Selama,"2019-09-09 16:42:49",admin,NULL,NULL,NULL,
75,GERIK,Gerik,"2019-09-09 16:43:04",admin,NULL,NULL,NULL,
76,ISKANDR,"Seri Iskandar","2019-09-09 16:43:18",admin,"2020-03-19 13:41:20",szesheng,NULL,
80,KULAI,Kulai,"2019-09-09 16:44:16",admin,"2019-11-15 10:35:43",szesheng,NULL,
81,PERLIS,Perlis,"2019-09-09 16:44:29",admin,NULL,NULL,NULL,
82,PENANG,Penang,"2019-09-09 16:44:42",admin,NULL,NULL,NULL,
84,K.LMPUR,"Kuala Lumpur","2019-09-09 17:02:49",admin,NULL,NULL,NULL,
85,MLAKA,Melaka,"2019-09-09 17:03:54",admin,NULL,NULL,NULL,
86,J.BHR2,"Johor Bahru (Outskirt)","2019-09-17 15:02:31",admin,NULL,NULL,NULL,
87,K.LMPUR2,"Kuala Lumpur (Outskirt)","2019-09-17 15:02:54",admin,NULL,NULL,NULL,
88,MIDWAY,MIDWAY,"2019-10-11 14:22:18",szesheng,"2020-07-01 09:32:32",13,NULL,
91,PERAK,PERAK,"2019-10-25 07:27:39",liza,NULL,NULL,NULL,
92,SBAN,Seremban,"2019-11-13 10:04:50",liza,"2019-11-15 10:32:44",szesheng,NULL,
93,BANTING,BANTING,"2019-11-28 07:52:42",liza,NULL,NULL,NULL,
94,MENTAKAB,MENTAKAB,"2020-02-19 08:46:31",desmond,NULL,NULL,NULL,
95,SP,"SUNGAI PETANI","2020-02-19 11:51:24",julie,NULL,NULL,NULL,
96,AOR,"ALOR SETAR","2020-02-19 11:51:39",julie,NULL,NULL,NULL,
97,SEGAMAT,SEGAMAT,"2020-02-19 12:54:55",yeongboon,NULL,NULL,NULL,
98,JERANTUT,JERANTUT,"2020-02-21 09:14:37",desmond,NULL,NULL,NULL,
100,ZZZ,"New one","2020-06-08 00:15:22",13,NULL,NULL,NULL,
